Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Cluster,Price Range
Nissan,Paladin,2.4L Inline-4,2438.0,150.0,180.0,10.6,20000.0,Petrol,5,217.0,2,Low (<50k)
Nissan,Hardbody SUV,2.5L Inline-4,2498.0,158.0,175.0,11.0,18500.0,Petrol,5,225.0,2,Low (<50k)
Nissan,Patrol Desert Edition,5.6L V8,5552.0,428.0,210.0,6.5,95000.0,Petrol,7,560.0,0,Medium (50k-100k)
Nissan,Pathfinder Armada,5.6L V8,5552.0,400.0,200.0,6.5,60000.0,Petrol,7,560.0,0,Medium (50k-100k)
Nissan,Rogue Midnight Edition,1.5L Turbo Inline-3,1497.0,201.0,180.0,8.2,39000.0,Petrol,5,300.0,2,Low (<50k)
Nissan,GT-R Black Edition,3.8L Twin-Turbo V6,3799.0,600.0,330.0,2.8,185000.0,Petrol,2,652.0,1,High (100k-200k)
Nissan,Fairlady Z Heritage,3.0L Twin-Turbo V6,2997.0,400.0,250.0,4.2,48000.0,Petrol,2,475.0,0,Low (<50k)
Nissan,Skyline GT-R R34,2.6L Twin-Turbo Inline-6,2568.0,276.0,250.0,5.6,70000.0,Petrol,4,392.0,0,Medium (50k-100k)
Nissan,Ariya Premiere,Dual Electric Motors,87.0,389.0,200.0,5.1,67000.0,Electric,5,600.0,0,Medium (50k-100k)
Nissan,Infiniti QX55*,2.0L VC-Turbo Inline-4,1997.0,268.0,230.0,6.5,50000.0,Petrol,5,380.0,0,Low (<50k)
Nissan,NV350 Caravan,2.5L Inline-4 Diesel,2488.0,129.0,155.0,12.5,28000.0,Diesel,8,356.0,2,Low (<50k)
Nissan,Navara,2.3L Inline-4 Diesel,2298.0,190.0,180.0,10.2,32000.0,Diesel,5,450.0,2,Low (<50k)
Nissan,Titan XD,5.6L V8,5552.0,400.0,195.0,6.9,55000.0,Petrol,6,560.0,0,Medium (50k-100k)
Nissan,Evalia,1.5L Inline-4 Diesel,1461.0,85.0,140.0,15.0,25000.0,Diesel,7,200.0,2,Low (<50k)
Nissan,Cabstar,2.5L Inline-4 Diesel,2488.0,130.0,145.0,14.8,27000.0,Diesel,3,350.0,2,Low (<50k)
Nissan,Cherry,1.4L Inline-4,1397.0,67.0,145.0,14.0,14000.0,Petrol,5,110.0,2,Low (<50k)
Nissan,Laurel,2.8L Inline-6 Diesel,2825.0,94.0,160.0,12.5,22000.0,Diesel,5,184.0,2,Low (<50k)
Nissan,Silvia,2.0L Turbo Inline-4,1998.0,247.0,235.0,5.9,45000.0,Petrol,4,275.0,0,Low (<50k)
Nissan,NX Coupe,2.0L Inline-4,1998.0,140.0,200.0,9.0,22000.0,Petrol,4,180.0,2,Low (<50k)
Nissan,AD Wagon,1.5L Inline-4,1498.0,105.0,165.0,12.3,16000.0,Petrol,5,150.0,2,Low (<50k)
Nissan,Patrol Super Safari Y61,4.8L Inline-6,4750.0,280.0,190.0,8.2,58000.0,Petrol,7,451.0,0,Medium (50k-100k)
Nissan,Pathfinder Rock Creek Edition,3.5L V6,3498.0,284.0,195.0,7.2,44000.0,Petrol,7,351.0,0,Low (<50k)
Nissan,Terrano II,2.7L Inline-4 Diesel,2664.0,125.0,160.0,12.9,28000.0,Diesel,5,278.0,2,Low (<50k)
Nissan,Murano CrossCabriolet,3.5L V6,3498.0,260.0,195.0,7.6,47000.0,Petrol,4,325.0,0,Low (<50k)
